# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig2.fig
# Figure title: Figure 2
# X axis: Random number
# Y axis: Scattering angle \theta_{LAB} (deg.)
# Interpretation: inverse CDF style mapping from random number to H or H-ENA atmospheric scattering angle in LAB frame.
# Columns: random_number scattering_angle_lab_deg
random_number	scattering_angle_lab_deg
0.904048582511	3.65
0.904237316872	3.66
0.904425194122	3.67
0.904612220473	3.68
0.904798402076	3.69
0.904983745019	3.7
0.905168255332	3.71
0.905351938985	3.72
0.905534801889	3.73
0.905716849896	3.74
0.905898088802	3.75
0.906078524347	3.76
0.906258162214	3.77
0.906437008032	3.78
0.906615067373	3.79
0.906792345759	3.8
0.906968848656	3.81
0.907144581478	3.82
0.907319549588	3.83
0.907493758298	3.84
0.907667212867	3.85
0.907839918508	3.86
0.90801188038	3.87
0.908183103597	3.88
0.908353593223	3.89
0.908523354275	3.9
0.908692391723	3.91
0.908860710489	3.92
0.909028315452	3.93
0.909195211442	3.94
0.909361403247	3.95
0.90952689561	3.96
0.909691693229	3.97
0.90985580076	3.98
0.910019222815	3.99
0.910181963966	4
0.910344028741	4.01
0.910505421627	4.02
0.91066614707	4.03
0.910826209477	4.04
0.910985613215	4.05
0.911144362609	4.06
0.911302461948	4.07
0.911459915481	4.08
0.91161672742	4.09
0.911772901937	4.1
0.911928443169	4.11
0.912083355215	4.12
0.912237642139	4.13
0.912391307967	4.14
0.912544356691	4.15
0.912696792268	4.16
0.912848618618	4.17
0.912999839629	4.18
0.913150459154	4.19
0.913300481013	4.2
0.91344990899	4.21
0.913598746841	4.22
0.913746998285	4.23
0.91389466701	4.24
0.914041756674	4.25
0.914188270902	4.26
0.914334213288	4.27
0.914479587395	4.28
0.914624396756	4.29
0.914768644873	4.3
0.91491233522	4.31
0.91505547124	4.32
0.915198056347	4.33
0.915340093926	4.34
0.915481587335	4.35
0.915622539902	4.36
0.915762954927	4.37
0.915902835684	4.38
0.916042185419	4.39
0.916181007349	4.4
0.916319304667	4.41
0.916457080539	4.42
0.916594338103	4.43
0.916731080472	4.44
0.916867310735	4.45
0.917003031954	4.46
0.917138247165	4.47
0.917272959381	4.48
0.917407171589	4.49
0.917540886753	4.5
0.917674107812	4.51
0.917806837682	4.52
0.917939079253	4.53
0.918070835395	4.54
0.918202108952	4.55
0.918332902748	4.56
0.918463219581	4.57
0.918593062229	4.58
0.918722433448	4.59
0.91885133597	4.6
0.918979772506	4.61
0.919107745747	4.62
0.919235258362	4.63
0.919362312997	4.64
0.919488912279	4.65
0.919615058815	4.66
0.919740755189	4.67
0.919866003968	4.68
0.919990807695	4.69
0.920115168897	4.7
0.920239090079	4.71
0.920362573727	4.72
0.920485622309	4.73
0.920608238271	4.74
0.920730424043	4.75
0.920852182036	4.76
0.92097351464	4.77
0.921094424229	4.78
0.921214913158	4.79
0.921334983765	4.8
0.921454638369	4.81
0.921573879271	4.82
0.921692708755	4.83
0.921811129089	4.84
0.921929142523	4.85
0.922046751288	4.86
0.922163957602	4.87
0.922280763663	4.88
0.922397171654	4.89
0.922513183742	4.9
0.922628802077	4.91
0.922744028793	4.92
0.922858866009	4.93
0.922973315828	4.94
0.923087380336	4.95
0.923201061606	4.96
0.923314361693	4.97
0.923427282639	4.98
0.92353982647	4.99
0.923651995198	5
0.923763790818	5.01
0.923875215315	5.02
0.923986270654	5.03
0.924096958789	5.04
0.92420728166	5.05
0.924317241191	5.06
0.924426839293	5.07
0.924536077865	5.08
0.924644958789	5.09
0.924753483936	5.1
0.924861655163	5.11
0.924969474312	5.12
0.925076943215	5.13
0.925184063688	5.14
0.925290837535	5.15
0.925397266548	5.16
0.925503352507	5.17
0.925609097176	5.18
0.925714502309	5.19
0.925819569649	5.2
0.925924300923	5.21
0.926028697849	5.22
0.926132762131	5.23
0.926236495463	5.24
0.926339899525	5.25
0.926442975987	5.26
0.926545726507	5.27
0.926648152731	5.28
0.926750256293	5.29
0.926852038818	5.3
0.926953501917	5.31
0.927054647191	5.32
0.927155476232	5.33
0.927255990617	5.34
0.927356191917	5.35
0.927456081687	5.36
0.927555661476	5.37
0.927654932819	5.38
0.927753897243	5.39
0.927852556264	5.4
0.927950911387	5.41
0.928048964107	5.42
0.928146715909	5.43
0.928244168269	5.44
0.928341322651	5.45
0.928438180512	5.46
0.928534743296	5.47
0.928631012439	5.48
0.928726989369	5.49
0.928822675501	5.5
0.928918072244	5.51
0.929013180994	5.52
0.929108003142	5.53
0.929202540066	5.54
0.929296793137	5.55
0.929390763716	5.56
0.929484453157	5.57
0.929577862802	5.58
0.929670993986	5.59
0.929763848035	5.6
0.929856426267	5.61
0.929948729991	5.62
0.930040760506	5.63
0.930132519105	5.64
0.930224007071	5.65
0.930315225678	5.66
0.930406176194	5.67
0.930496859878	5.68
0.93058727798	5.69
0.930677431742	5.7
0.930767322399	5.71
0.930856951178	5.72
0.930946319298	5.73
0.931035427968	5.74
0.931124278394	5.75
0.931212871769	5.76
0.931301209283	5.77
0.931389292115	5.78
0.93147712144	5.79
0.931564698421	5.8
0.931652024218	5.81
0.931739099981	5.82
0.931825926854	5.83
0.931912505973	5.84
0.931998838469	5.85
0.932084925463	5.86
0.93217076807	5.87
0.932256367399	5.88
0.932341724551	5.89
0.932426840621	5.9
0.932511716696	5.91
0.932596353859	5.92
0.932680753182	5.93
0.932764915734	5.94
0.932848842576	5.95
0.932932534763	5.96
0.933015993342	5.97
0.933099219356	5.98
0.933182213839	5.99
0.933264977822	6
0.933347512326	6.01
0.933429818368	6.02
0.933511896958	6.03
0.933593749101	6.04
0.933675375795	6.05
0.933756778032	6.06
0.933837956798	6.07
0.933918913072	6.08
0.93399964783	6.09
0.934080162039	6.1
0.934160456663	6.11
0.934240532657	6.12
0.934320390974	6.13
0.934400032558	6.14
0.934479458349	6.15
0.934558669282	6.16
0.934637666284	6.17
0.93471645028	6.18
0.934795022186	6.19
0.934873382915	6.2
0.934951533374	6.21
0.935029474464	6.22
0.935107207082	6.23
0.935184732117	6.24
0.935262050457	6.25
0.935339162981	6.26
0.935416070564	6.27
0.935492774078	6.28
0.935569274387	6.29
0.93564557235	6.3
0.935721668825	6.31
0.935797564659	6.32
0.9358732607	6.33
0.935948757786	6.34
0.936024056754	6.35
0.936099158434	6.36
0.936174063653	6.37
0.93624877323	6.38
0.936323287983	6.39
0.936397608724	6.4
0.936471736259	6.41
0.936545671391	6.42
0.936619414918	6.43
0.936692967634	6.44
0.936766330327	6.45
0.936839503781	6.46
0.936912488777	6.47
0.93698528609	6.48
0.937057896491	6.49
0.937130320747	6.5
0.93720255962	6.51
0.93727461387	6.52
0.937346484249	6.53
0.937418171507	6.54
0.93748967639	6.55
0.93756099964	6.56
0.937632141992	6.57
0.937703104182	6.58
0.937773886936	6.59
0.937844490982	6.6
0.937914917038	6.61
0.937985165824	6.62
0.93805523805	6.63
0.938125134427	6.64
0.938194855659	6.65
0.938264402449	6.66
0.938333775492	6.67
0.938402975483	6.68
0.938472003112	6.69
0.938540859065	6.7
0.938609544023	6.71
0.938678058666	6.72
0.938746403668	6.73
0.9388145797	6.74
0.93888258743	6.75
0.938950427522	6.76
0.939018100636	6.77
0.939085607428	6.78
0.939152948553	6.79
0.939220124659	6.8
0.939287136393	6.81
0.939353984397	6.82
0.939420669311	6.83
0.939487191771	6.84
0.939553552408	6.85
0.939619751852	6.86
0.939685790729	6.87
0.939751669661	6.88
0.939817389267	6.89
0.939882950162	6.9
0.93994835296	6.91
0.940013598269	6.92
0.940078686695	6.93
0.940143618841	6.94
0.940208395308	6.95
0.94027301669	6.96
0.940337483582	6.97
0.940401796573	6.98
0.940465956251	6.99
0.940529963201	7
0.940593818001	7.01
0.940657521232	7.02
0.940721073467	7.03
0.940784475279	7.04
0.940847727237	7.05
0.940910829906	7.06
0.940973783849	7.07
0.941036589628	7.08
0.941099247798	7.09
0.941161758915	7.1
0.941224123529	7.11
0.94128634219	7.12
0.941348415444	7.13
0.941410343833	7.14
0.941472127898	7.15
0.941533768176	7.16
0.941595265201	7.17
0.941656619507	7.18
0.941717831622	7.19
0.941778902073	7.2
0.941839831384	7.21
0.941900620076	7.22
0.941961268668	7.23
0.942021777675	7.24
0.942082147611	7.25
0.942142378988	7.26
0.942202472312	7.27
0.94226242809	7.28
0.942322246825	7.29
0.942381929018	7.3
